ab_speed,total_force,FlexXForce,LatXForce
0.00342,100.6980807,4.483078555,2.799627173
0.00368,100.4849409,4.48966716,2.782404903
0.00292,100.4838169,4.502679836,2.773588479
0.00267,100.4827792,4.517705752,2.76912754
0.00234,100.4788555,4.548677786,2.783282382
0.00119,100.4881777,4.587285312,2.815560163
0.00018,101.0517313,4.664547918,2.890311935
0.00405,102.7174034,4.798957087,3.033984488
0.00338,105.4340167,4.964887847,3.18598403
0.00342,108.8431601,5.164607946,3.364450921
0.00289,110.4957999,5.27838436,3.482020993
0.00275,112.0131609,5.386712908,3.597885131
0.00211,114.0256787,5.523403875,3.730407091
0.00131,115.4173714,5.648526158,3.860030112
0.00204,116.6667811,5.745838971,3.928473855
0.00417,117.7676537,5.833031886,3.967050521
0.00532,118.722827,5.913584012,3.991710761
0.00259,118.9024603,5.937988867,3.99144858
0.00314,118.9215881,5.955593131,3.984467808
0.00397,118.9404493,5.981515197,3.981626694
0.00128,119.0308113,6.019388125,4.019134857
0.00407,119.3895342,6.148561012,4.219858904
0.00245,119.7087594,6.206899173,4.268862242
0.00178,119.5627788,6.234003285,4.330384503
0.00319,119.2381453,6.267156916,4.422423571
0.00329,118.7679731,6.291139534,4.510570081
0.00265,118.0337088,6.293557353,4.569438968
0.00239,117.3218245,6.296662323,4.627876691
0.00126,116.5377381,6.300030121,4.679572873
0.00311,115.697992,6.319424323,4.717932718
0.00211,114.8164357,6.291940675,4.693925523
0.0024,113.7152518,6.246378782,4.650385223
0.00385,112.8470622,6.217873127,4.61059242
0.00285,111.9684076,6.184015152,4.569318746
0.00282,111.9403441,6.194778643,4.562688426
0.00268,111.9244881,6.208451353,4.560139417
0.00271,111.9085982,6.231070746,4.572921047
0.00052,111.8286454,6.285888156,4.665714742
0.00049,111.4167801,6.321788105,4.743792248
0.00213,109.6864671,6.258709812,4.742623464
0.00215,108.5361748,6.228891069,4.763978318
0.00274,107.3359153,6.204015905,4.800598813
0.0021,106.1004319,6.170801118,4.819081616
0.00123,104.5310985,6.121341131,4.818570049
0.00217,103.3515871,6.106011767,4.829309611
0.0003,102.1698072,6.081146926,4.841009806
0.00029,100.6957903,6.039733499,4.83702298
0.00266,99.23450629,5.966970863,4.774965974
0.00237,98.0618859,5.906267388,4.719522445
0.00234,96.90407092,5.845253558,4.665155782
0.00208,95.52473578,5.773515031,4.607062482
0.00146,94.77620593,5.759550034,4.612284062
0.00117,94.75681331,5.819963474,4.713203894
0.00113,94.73742636,5.87940468,4.812850734
0.00172,94.64057658,5.905571979,4.865945245
0.00184,94.15846614,5.906560581,4.898123409
0.00235,92.06049269,5.815461323,4.859505167
0.0015,90.67930247,5.759949293,4.84254679
0.00026,89.33188656,5.712774146,4.825976508
0.00101,88.30517108,5.685969966,4.825171158
0.00111,87.2986492,5.642111698,4.797148072
0.00164,85.94482912,5.566646582,4.734614691
0.00241,84.75855229,5.499982458,4.675281744
0.00245,83.60158751,5.434103188,4.61530924
0.00173,82.59275255,5.375136336,4.5630018
0.0014,81.60603144,5.32152931,4.520158081
0.00057,80.64072096,5.296482553,4.519267284
0.00141,80.06693316,5.319647039,4.58078938
0.00046,80.05469571,5.344451486,4.619876435
0.00178,80.0424617,5.372450029,4.666315432
0.00252,79.98134292,5.408338408,4.728656956
