speed,difference_flex,difference_lateral,sterm_mast,sterm_mast_acc,sterm_mast_L,sterm_mast_L_acc
0.0016,0.07447,0.068245,0,0.179289193,0,0.218729757
0.00135,0.07459,0.068364,0,0.179289193,0,0.218729757
-0.00099,0.07486,0.068759,0,0.179289193,0,0.218729757
-0.00134,0.07518,0.069244,0,0.179289193,0,0.218729757
-0.00195,0.07561,0.069904,0,0.179289193,0,0.218729757
-0.00267,0.07618,0.070783,0,0.179289193,0,0.218729757
-0.00277,0.07676,0.071693,0,0.179289193,0,0.218729757
-0.00141,0.07705,0.07216,0,0.179289193,0,0.218729757
-0.00138,0.07734,0.072631,0,0.179289193,0,0.218729757
-0.00211,0.07781,0.073408,0,0.179289193,0,0.218729757
0.00038,0.078,0.073664,0,0.179289193,0,0.218729757
0.0008,0.07821,0.073927,0,0.179289193,0,0.218729757
0.00125,0.07845,0.07422,0,0.179289193,0,0.218729757
0.00261,0.0786,0.074298,0,0.179289193,0,0.218729757
0.00255,0.07872,0.074352,0,0.179289193,0,0.218729757
0.00152,0.0788,0.074386,0,0.179289193,0,0.218729757
0.00146,0.0789,0.074439,0,0.179289193,0,0.218729757
0.00177,0.07906,0.074596,0,0.179289193,0,0.218729757
0.00042,0.07941,0.075086,0,0.179289193,0,0.218729757
3E-05,0.07984,0.075704,0,0.179289193,0,0.218729757
-0.0024,0.08028,0.07653,0,0.179289193,0,0.218729757
-0.00331,0.08088,0.077667,0,0.179289193,0,0.218729757
-0.002,0.08128,0.0784,0,0.179289193,0,0.218729757
-0.00117,0.08166,0.079071,0,0.179289193,0,0.218729757
-0.00018,0.08204,0.079679,0,0.179289193,0,0.218729757
0.00034,0.08244,0.080297,0,0.179289193,0,0.218729757
0.00172,0.08267,0.080555,0,0.179289193,0,0.218729757
0.0009,0.08288,0.080809,0,0.179289193,0,0.218729757
0.00147,0.08297,0.080865,0,0.179289193,0,0.218729757
0.002,0.08308,0.080914,0,0.179289193,0,0.218729757
0.00175,0.08318,0.080957,0,0.179289193,0,0.218729757
0.00161,0.0833,0.081041,0,0.179289193,0,0.218729757
0.00099,0.08353,0.081331,0,0.179289193,0,0.218729757
-0.00133,0.08392,0.082,0,0.179289193,0,0.218729757
-0.00138,0.0843,0.082666,0,0.179289193,0,0.218729757
-0.00339,0.0849,0.083798,0,0.179289193,0,0.218729757
-0.00218,0.08528,0.084516,0,0.179289193,0,0.218729757
-0.00188,0.0856,0.085136,0,0.179289193,0,0.218729757
-0.00159,0.0859,0.085683,0,0.179289193,0,0.218729757
-0.00126,0.0862,0.086235,0,0.179289193,0,0.218729757
0.00039,0.08658,0.086813,0,0.179289193,0,0.218729757
0.00235,0.0868,0.086985,0,0.179289193,0,0.218729757
0.00119,0.08694,0.087107,0,0.179289193,0,0.218729757
0.00144,0.08703,0.087147,0,0.179289193,0,0.218729757
0.00217,0.08716,0.087188,0,0.179289193,0,0.218729757
0.00171,0.08728,0.087224,0,0.179289193,0,0.218729757
0.00161,0.08741,0.087294,0,0.179289193,0,0.218729757
0.00108,0.08762,0.087535,0,0.179289193,0,0.218729757
-0.00066,0.08812,0.088348,0,0.179289193,0,0.218729757
-0.0017,0.08855,0.089138,0,0.179289193,0,0.218729757
-0.00137,0.08881,0.089658,0,0.179289193,0,0.218729757
-0.00149,0.08908,0.090173,0,0.179289193,0,0.218729757
-0.00195,0.08939,0.090827,0,0.179289193,0,0.218729757
-0.00159,0.08965,0.091366,0,0.179289193,0,0.218729757
-0.00148,0.08991,0.091906,0,0.179289193,0,0.218729757
-0.00096,0.0902,0.092452,0,0.179289193,0,0.218729757
0.00069,0.09058,0.093029,0,0.179289193,0,0.218729757
0.00211,0.09075,0.09313,0,0.179289193,0,0.218729757
0.00132,0.09085,0.093185,0,0.179289193,0,0.218729757
0.00135,0.09094,0.093226,0,0.179289193,0,0.218729757
0.0021,0.09108,0.093284,0,0.179289193,0,0.218729757
0.00162,0.09119,0.093333,0,0.179289193,0,0.218729757
0.00157,0.0913,0.093391,0,0.179289193,0,0.218729757
0.00145,0.09144,0.093488,0,0.179289193,0,0.218729757
0.0009,0.09165,0.093769,0,0.179289193,0,0.218729757
-0.00089,0.09185,0.094203,0,0.179289193,0,0.218729757
-0.00156,0.09209,0.094753,0,0.179289193,0,0.218729757
-0.00216,0.09239,0.09548,0,0.179289193,0,0.218729757
-0.00282,0.09276,0.096426,0,0.179289193,0,0.218729757
-0.00139,0.09295,0.096902,0,0.179289193,0,0.218729757
-0.00122,0.09315,0.097381,0,0.179289193,0,0.218729757
-0.00101,0.09349,0.098094,0,0.179289193,0,0.218729757
-0.00028,0.09379,0.098659,0,0.179289193,0,0.218729757
0.00121,0.094,0.098912,0,0.179289193,0,0.218729757
0.00206,0.09423,0.099095,0.000269214,0.179558407,0,0.218729757
0.00282,0.0945,0.099289,0.000345414,0.179903821,0,0.218729757
0.00092,0.0946,0.099363,0.001156497,0.181060318,0,0.218729757
0.00134,0.09471,0.099423,0.002037906,0.183098224,0,0.218729757
0.00132,0.09482,0.099483,0.002654365,0.185752589,0,0.218729757
0.00115,0.09493,0.099558,0.003164512,0.188917101,0,0.218729757
8E-05,0.09502,0.099704,0.003650376,0.192567477,0,0.218729757
-0.00136,0.09532,0.100364,0.004051218,0.196618695,0,0.218729757
-0.00283,0.09566,0.101275,0.004503023,0.201121718,0,0.218729757
-0.00132,0.09581,0.101689,0.004638529,0.205760247,0,0.218729757
-0.00133,0.09596,0.102103,0.004649202,0.210409449,0,0.218729757
-0.0023,0.09624,0.102838,0.004880149,0.215289598,0,0.218729757
-0.00111,0.09646,0.103344,0.005144687,0.220434286,0,0.218729757
0.00116,0.09682,0.103869,0.005256961,0.225691247,0,0.218729757
0.00044,0.09712,0.104363,0.005314129,0.231005376,0,0.218729757
