ab_speed,difference_flex,difference_lateral,total_power
0.00146,0.06077,0.048665,0
0.00117,0.06142,0.04974,0
0.00113,0.06206,0.050802,0
0.00172,0.0624,0.051415,0
0.00184,0.06273,0.05202,0
0.00235,0.06317,0.052786,0
0.0015,0.06352,0.053403,0
0.00026,0.06395,0.054023,0
0.00101,0.06439,0.054642,0
0.00111,0.06463,0.054951,0
0.00164,0.06477,0.055089,0
0.00241,0.06489,0.05516,0
0.00245,0.065,0.055206,0
0.00173,0.06508,0.055247,0
0.0014,0.06521,0.05539,0
0.00057,0.06568,0.056042,0
0.00141,0.06644,0.057212,0
0.00046,0.06676,0.057709,0
0.00178,0.06712,0.058298,0
0.00252,0.06762,0.059122,0
0.00105,0.0679,0.059576,0
0.00043,0.06824,0.060045,0
0.00301,0.06895,0.060938,0
0.0003,0.06929,0.06143,0
0.00101,0.06948,0.061663,0
0.0027,0.06962,0.061764,0
0.00177,0.0697,0.061807,0
0.00176,0.06977,0.06185,0
0.00195,0.0699,0.061956,0
0.00073,0.07019,0.062338,0
0.00242,0.07074,0.063213,0
0.00206,0.07119,0.06392,0
0.00174,0.07156,0.064506,0
0.00174,0.07192,0.06509,0
0.00148,0.0723,0.065676,0
0.00028,0.07272,0.066281,0
0.00154,0.07316,0.066833,0
0.00022,0.07356,0.067361,0
0.00019,0.07404,0.068034,0
0.00162,0.07413,0.068082,0
0.00165,0.0742,0.06812,0
0.00166,0.07428,0.068153,0
0.00219,0.07437,0.068197,0
0.0016,0.07447,0.068245,0
0.00135,0.07459,0.068364,0
0.00099,0.07486,0.068759,0
0.00134,0.07518,0.069244,0
0.00195,0.07561,0.069904,0
0.00267,0.07618,0.070783,0
0.00277,0.07676,0.071693,0
0.00141,0.07705,0.07216,0
0.00138,0.07734,0.072631,0
0.00211,0.07781,0.073408,0
0.00038,0.078,0.073664,0
0.0008,0.07821,0.073927,0
0.00125,0.07845,0.07422,0
0.00261,0.0786,0.074298,0
0.00255,0.07872,0.074352,0
0.00152,0.0788,0.074386,0
0.00146,0.0789,0.074439,0
0.00177,0.07906,0.074596,0
0.00042,0.07941,0.075086,0
3E-05,0.07984,0.075704,0
0.0024,0.08028,0.07653,0
0.00331,0.08088,0.077667,0
0.002,0.08128,0.0784,0
0.00117,0.08166,0.079071,0
0.00018,0.08204,0.079679,0
0.00034,0.08244,0.080297,0
0.00172,0.08267,0.080555,0
0.0009,0.08288,0.080809,0
0.00147,0.08297,0.080865,0
0.002,0.08308,0.080914,0
0.00175,0.08318,0.080957,0
0.00161,0.0833,0.081041,0
0.00099,0.08353,0.081331,0
0.00133,0.08392,0.082,0
0.00138,0.0843,0.082666,0
0.00339,0.0849,0.083798,0
0.00218,0.08528,0.084516,0
0.00188,0.0856,0.085136,0
0.00159,0.0859,0.085683,0
0.00126,0.0862,0.086235,0
0.00039,0.08658,0.086813,0
0.00235,0.0868,0.086985,0
0.00119,0.08694,0.087107,0
0.00144,0.08703,0.087147,0
0.00217,0.08716,0.087188,0
0.00171,0.08728,0.087224,0
0.00161,0.08741,0.087294,0
0.00108,0.08762,0.087535,0
0.00066,0.08812,0.088348,0
0.0017,0.08855,0.089138,0
0.00137,0.08881,0.089658,0
0.00149,0.08908,0.090173,0
0.00195,0.08939,0.090827,0
0.00159,0.08965,0.091366,0
0.00148,0.08991,0.091906,0
0.00096,0.0902,0.092452,0
0.00069,0.09058,0.093029,0
0.00211,0.09075,0.09313,0
0.00132,0.09085,0.093185,0
0.00135,0.09094,0.093226,0
0.0021,0.09108,0.093284,0
0.00162,0.09119,0.093333,0
0.00157,0.0913,0.093391,0
0.00145,0.09144,0.093488,0
0.0009,0.09165,0.093769,0
0.00089,0.09185,0.094203,0
0.00156,0.09209,0.094753,0
0.00216,0.09239,0.09548,0
0.00282,0.09276,0.096426,0
0.00139,0.09295,0.096902,0
0.00122,0.09315,0.097381,0
0.00101,0.09349,0.098094,0
0.00028,0.09379,0.098659,0
0.00121,0.094,0.098912,0
0.00206,0.09423,0.099095,0.00399065
0.00282,0.0945,0.099289,0.00511571
0.00092,0.0946,0.099363,0.01695424
0.00134,0.09471,0.099423,0.02950128
0.00132,0.09482,0.099483,0.03806251
0.00115,0.09493,0.099558,0.04500951
8E-05,0.09502,0.099704,0.05150829
0.00136,0.09532,0.100364,0.05678281
0.00283,0.09566,0.101275,0.06263078
0.00132,0.09581,0.101689,0.06436455
0.00133,0.09596,0.102103,0.06450062
0.0023,0.09624,0.102838,0.06739868
0.00111,0.09646,0.103344,0.07054203
0.00116,0.09682,0.103869,0.07172091
0.00044,0.09712,0.104363,0.07205497
1E-04,0.09738,0.104834,0.07150449
0.00106,0.09752,0.104963,0.06962667
0.00123,0.09763,0.105044,0.0671244
0.00167,0.09776,0.105111,0.06280054
0.00129,0.09786,0.105163,0.05784289
0.00117,0.09798,0.105251,0.05495696
0.00079,0.09817,0.105533,0.05488063
0.00245,0.09853,0.106439,0.05386691
0.00122,0.09867,0.106846,0.05150869
0.00166,0.09885,0.107337,0.05304919
0.00193,0.09903,0.107881,0.05673171
0.0016,0.09919,0.108329,0.06196197
0.00147,0.09935,0.108778,0.06844577
0.0008,0.09956,0.109244,0.0751301
0.00187,0.1,0.109902,0.08163914
0.00059,0.10018,0.110167,0.08782892
0.00142,0.10033,0.110312,0.09130444
0.00134,0.10042,0.110365,0.09148776
0.00139,0.10052,0.110404,0.09389992
0.0017,0.10062,0.110447,0.09696863
0.00152,0.10074,0.110535,0.09764445
0.00327,0.10128,0.111858,0.09703502
0.00347,0.10162,0.112834,0.09556216
0.00326,0.10191,0.113698,0.0935673
0.00034,0.10236,0.114584,0.09127353
0.00162,0.10273,0.115114,0.08884898
0.0027,0.10289,0.115172,0.08638658
0.00167,0.10323,0.115659,0.08398373
0.00149,0.10366,0.116607,0.08193654
0.00264,0.10398,0.117443,0.08189304
0.00338,0.10422,0.118194,0.08124852
0.00331,0.10446,0.118922,0.07853208
0.00013,0.10456,0.119086,0.07781555
0.00218,0.10474,0.119196,0.07714262
0.00127,0.10484,0.119258,0.07652639
0.0016,0.10494,0.11929,0.07602066
0.00126,0.10502,0.119319,0.07552393
0.00085,0.10513,0.119427,0.07483283
0.00112,0.10536,0.11992,0.07421553
0,0.10557,0.120269,0.07353191
0.00048,0.10575,0.120607,0.07279587
0.00048,0.10593,0.120938,0.07196491
7E-05,0.10614,0.121263,0.07106401
0.0013,0.10626,0.121576,0.07020439
0.00158,0.10638,0.121881,0.06928223
0.00149,0.10649,0.122146,0.06794693
0.00149,0.10658,0.122406,0.06669176
0.00122,0.1067,0.122662,0.06531953
0.00157,0.10679,0.122678,0.06385768
0.00228,0.10693,0.122688,0.06244766
0.00119,0.10699,0.122694,0.06096748
0.00109,0.10707,0.122719,0.05940095
0.001,0.10721,0.122836,0.05847823
0.00104,0.10741,0.123195,0.05842076
0.00033,0.10757,0.123434,0.05836335
0.00033,0.10774,0.123666,0.05807694
9E-05,0.10792,0.123891,0.05665654
9E-05,0.10805,0.124067,0.05243263
8E-05,0.10819,0.12424,0.05103994
0.00022,0.10835,0.124461,0.04913413
0.0012,0.10843,0.124633,0.04744634
0.0013,0.1085,0.124802,0.04576064
0.0013,0.10856,0.124966,0.04436612
0.00119,0.10864,0.125124,0.04297254
4E-05,0.10869,0.12519,0.04132185
0.00173,0.1088,0.125204,0.03967951
0.00114,0.10887,0.125209,0.03829956
0.00112,0.10893,0.125213,0.03692466
0.00088,0.10901,0.125248,0.03557389
0.00013,0.10916,0.125427,0.03389326
0.00046,0.10928,0.125592,0.0325881
0.0002,0.10938,0.125726,0.03129513
9E-05,0.10949,0.125859,0.03003245
7E-05,0.10961,0.125992,0.02846234
0.00014,0.10971,0.126102,0.02727082
0,0.10981,0.126214,0.02609871
0.00047,0.10992,0.126375,0.02496324
0.00033,0.11002,0.126522,0.02352061
0.00083,0.1101,0.12667,0.02246144
0.0011,0.11016,0.126819,0.02142942
0.0013,0.11021,0.126969,0.02044097
0.00135,0.11026,0.127122,0.02009321
0.00066,0.1103,0.127198,0.02003792
1E-04,0.11031,0.127207,0.01998265
0.00075,0.11035,0.127219,0.01970665
0.0021,0.1105,0.127273,0.01834906
0.0007,0.11063,0.127491,0.01706355
0.00109,0.11078,0.127759,0.01612476
0.00046,0.11089,0.127938,0.01522806
0.00044,0.11099,0.128116,0.01436138
0.0008,0.1111,0.128333,0.01354139
0.00047,0.1112,0.128509,0.01275847
0.00048,0.11129,0.128682,0.01186989
0.00046,0.11138,0.128849,0.01123462
0.00017,0.11147,0.129006,0.01064859
0.00051,0.11155,0.129191,0.00993354
0.00047,0.11161,0.129246,0.0093891
0.00079,0.11167,0.129262,0.00888885
0.00038,0.11171,0.129278,0.00845335
0.00002,0.11171,0.129282,0.00806136
0,0.11171,0.129287,0.00773381
0.00007,0.11173,0.129308,0.00744845
0.00032,0.11181,0.129406,0.00722614
0.00061,0.11193,0.129637,0.00704418
0.00019,0.11198,0.129676,0.00692311
0.00014,0.11204,0.129737,0.00684006
0.00033,0.11211,0.129855,0.00681526
0.00024,0.11216,0.129883,0.00682573
0.00003,0.11221,0.129921,0.00689154
0.00047,0.1123,0.130029,0.00698951
0.00054,0.11237,0.130037,0.00701857
0.00028,0.11244,0.130065,0.00702408
9E-05,0.11245,0.13008,0.00702982
0.00036,0.11245,0.130114,0.00706047
1E-05,0.11245,0.130122,0.00719195
0.00002,0.11246,0.130121,0.00724104
0.00016,0.11246,0.130112,0.00723046
0.00079,0.11249,0.130068,0.0072045
0.00276,0.11261,0.129943,0.00720103
0.00034,0.11268,0.129956,0.00725495
0.00042,0.11275,0.129985,0.00740647
0.00011,0.11284,0.130042,0.00766157
